,Movie,YearOfRelease,Budget,RunningTime,Avengers,IronMan,CaptainAmerica,BlackWidow,NickFury,Thor,Hulk,Spiderman,BlackPanther,AntMan,GuardiansOfGalaxy,Thanos,CaptainMarvel,DrStrange,DomesticScreens,DomesticGross,WeekendGross,OverseasGross,WorldwideGross,CaptainAmerica_no,CaptainAmerica_yes,DrStrange_no,Avengers_no,Avengers_yes,IronMan_no,IronMan_yes,BlackPanther_no,Thor_no,Thor_yes,AntMan_no,GuardiansOfGalaxy_no,Hulk_no,Hulk_yes,BlackWidow_no,BlackWidow_yes,Thanos_no,Movie_Captain America: The First Avenger,Movie_Iron Man,Movie_Iron Man 2,Movie_The Avengers,Movie_Thor,NickFury_yes,CaptainMarvel_no,Spiderman_no
0,The Avengers,2012,220.0,129,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,4349,524484316,207438708,378606818,885843400,False,True,True,False,True,False,True,True,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,True,True
1,Iron Man 2,2010,200.0,125,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,4380,312433331,128122480,311500000,623933331,True,False,True,True,False,False,True,True,True,False,True,True,True,False,False,True,True,False,False,True,False,False,True,True,True
2,Iron Man,2008,140.0,126,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,4105,318412101,98618668,266762121,585174222,True,False,True,True,False,False,True,True,True,False,True,True,True,False,True,False,True,False,True,False,False,False,True,True,True
3,Thor,2011,150.0,121,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,3955,181030624,65723338,268295994,449326618,True,False,True,True,False,True,False,True,False,True,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True
4,Captain America: The First Avenger,2011,216.7,124,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,3715,176654505,65058524,199655302,370569774,False,True,True,True,False,True,False,True,True,False,True,True,True,False,True,False,True,True,False,False,False,False,True,True,True
